,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-0.1304229195088676,1129.439941,-0.0014941377140816744,-0.12892878179478595,underperform
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-0.3495225102319236,1198.680054,0.05971908507545951,-0.40924159530738313,underperform
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-0.4051841746248294,1184.630005,0.047297834699380994,-0.4524820093242104,underperform
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,-0.054570259208731244,1290.150024,0.14058509481410145,-0.19515535402283268,underperform
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-0.1219645293315143,1252.199951,0.10703451014899042,-0.2289990394805047,underperform
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-0.1323328785811732,1295.430054,0.14525301978882607,-0.27758589836999925,underperform
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-0.11377899045020469,1459.680054,0.2904617926743089,-0.40424078312451356,underperform
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-0.05538881309686224,1447.800049,0.27995901673565804,-0.33534782983252026,underperform
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-0.12251023192360169,1338.599976,0.183418325111091,-0.3059285570346927,underperform
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-0.10832196452933149,1348.859985,0.19248890846989783,-0.3008108729992293,underperform
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-0.1396998635743519,1379.930054,0.21995707646354934,-0.3596569400379013,underperform
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-0.5290586630286493,870.73999,-0.23020343713718386,-0.2988552258914655,underperform
13,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,0.11296043656207369,1254.050049,0.10867012938976892,0.004290307172304775,outperform
14,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,0.029740791268758622,1275.920044,0.1280047725371762,-0.0982639812684176,underperform
15,2013-05-14 00:28:58,1368505738.0,a,44.12,43.04,0.17435197817189635,1650.339966,0.45901882074112255,-0.2846668425692262,underperform
16,2013-09-06 06:09:52,1378462192.0,a,56.39,47.68,0.30095497953615286,1655.170044,0.4632889558968069,-0.16233397636065405,underperform
